symbol,name,close,yest_close,b1_p,b1_v,volume
603088,宁波精达,10.44,10.85,10.44,98,124159
300582,英飞特,20.62,21.43,20.62,36,64644
002748,世龙实业,10.94,11.37,10.93,29,55113
603278,大业股份,11.18,11.62,11.18,36,47379
688008,澜起科技,81.3,84.5,81.3,177,78570
600206,有研新材,15.24,15.84,15.24,512,268244
603858,步长制药,20.81,21.63,20.81,249,162039
603596,伯特利,62.68,65.15,62.68,41,50648
002516,旷达科技,6.34,6.59,6.33,205,160733
300484,蓝海华腾,14.96,15.55,14.95,343,63197
300993,玉马遮阳,29.13,30.28,29.13,27,19720
002149,西部材料,17.73,18.43,17.73,158,95207
603716,塞力医疗,13.93,14.48,13.92,40,43505
600562,国睿科技,17.68,18.38,17.67,7,101726
688105,诺唯赞,98.73,102.64,98.73,3,15250
603676,卫信康,9.09,9.45,9.08,26,59975
002097,山河智能,9.34,9.71,9.34,305,127713
002938,鹏鼎控股,41.86,43.52,41.85,91,152838
688121,卓然股份,36.05,37.48,36.03,5,22735
002885,京泉华,25.2,26.2,25.19,8,80082
300355,蒙草生态,5.29,5.5,5.29,4026,1150340
600200,江苏吴中,8.05,8.37,8.05,961,439747
300183,东软载波,17.6,18.3,17.59,64,64622
002766,*ST索菱,6.03,6.27,6.01,56,50330
300110,华仁药业,4.77,4.96,4.76,2270,546395
300400,劲拓股份,21.83,22.7,21.83,23,19885
000150,宜华健康,4.01,4.17,4.0,3371,455076
300109,新开源,20.77,21.6,20.75,398,135139
688314,康拓医疗,64.3,66.87,64.3,23,2607
603799,华友钴业,101.27,105.32,101.26,154,267621
601137,博威合金,21.99,22.87,21.98,4,105015
300584,海辰药业,19.47,20.25,19.47,16,26487
300453,三鑫医疗,12.23,12.72,12.23,115,65971
600559,老白干酒,27.18,28.27,27.18,1172,531355
688065,凯赛生物,179.35,186.55,179.2,2,10097
300016,北陆药业,8.96,9.32,8.96,280,183869
603283,赛腾股份,28.36,29.5,28.36,30,33619
600458,时代新材,13.17,13.7,13.16,291,189635
002074,国轩高科,46.46,48.33,46.46,81,335744
603659,璞泰来,151.4,157.5,151.4,1,58068
600435,北方导航,10.42,10.84,10.41,558,353049
