,kaipan_price,kaipan_money,sell_amount
sh600161,25.23,1402788,0.014135
sh600317,3.03,681447,0.026467140000000004
sh600711,6.5,32951074,1.750892
sz300620,47.0,954100,0.007268800000000001
sz002029,7.48,862444,0.00277866
sz000513,35.21,616069,0.042528359999999994
sz300616,89.1,311850,0.45332886000000006
sz300651,65.0,78000,0.003288
sh603577,12.16,278464,0.19725984
sz300740,17.99,485730,0.00117495
sh601298,9.57,8198619,1.67395415
sz300497,22.65,3037365,0.05130342
sh600378,11.99,393272,0.0017446
sz000028,51.8,139860,0.0032543800000000003
sz000812,4.75,828400,0.00785109
sz300404,14.8,84360,0.0017608799999999998
sz300643,10.28,635304,0.00107406
sz002602,19.53,539028,0.029839879999999996
sh600415,4.8,344160,0.0071782799999999996
sh603889,10.46,16736,0.00334323
sz300506,19.86,689142,0.00232624
sz002361,4.56,215688,0.01578675
sh600510,6.78,98310,0.012040799999999999
sz002447,4.59,24813090,3.27361554
sh600936,5.05,222200,0.00176736
sz300569,22.1,185490,0.00134992
sh600688,5.36,561728,0.033406080000000005
sh601088,19.69,8088652,0.06005339999999999
sh600126,5.16,21672,0.0018391
sh600773,7.69,622890,0.0012316500000000001
sz300605,19.53,857152,0.0002015
sz002423,11.64,3758556,0.00154842
sh603605,69.35,4098585,0.002235
sh603030,7.41,142272,0.00181041
sh603967,0.0,0.0,0.0
sz002197,9.49,2733120,0.00700306
sz002181,6.33,1541355,0.01251222
sz002225,5.67,1042713,0.0009877
sh603421,29.69,1995168,0.001452
sz000676,10.61,786201,0.010026269999999999
sz300293,9.94,173950,0.0041776800000000005
sz002484,7.88,29131,0.00373178
sz002331,11.82,507078,0.007154
sz000157,4.53,1001094,0.07155841
sz300526,13.67,82020,0.0046718
sz000589,4.14,242190,0.01680996
sz300246,14.47,452911,0.00125748
sh600728,12.37,2678538,0.03533877
sz300415,7.49,911084,0.47721486999999996
sh600169,3.01,207991,0.059323680000000004
sz002437,5.21,1130570,0.00977877
sh600939,5.71,169587,0.018210360000000002
sh600305,13.66,2762462,0.00048076
sz002926,12.25,8679125,0.00467154
sh603833,125.03,662659,0.0106596
sz002812,61.28,153200,0.00694638
sh600809,60.47,3198863,0.0156845
sh600109,10.78,19904192,0.0130644
sz002479,5.5,317350,0.023139299999999998
sh600228,8.22,23016,3.396e-05
sz002207,6.65,378385,0.26681462
sz000932,7.62,11471803,0.00025632
sh600790,4.19,129052,0.04398975
sz002427,17.3,534570,0.00141804
sz002472,7.14,116382,0.04632096
sz002103,5.05,668115,0.00182352
sh600272,9.15,232410,0.00155144
sz300075,13.5,1826550,0.0027186000000000003
sz002815,17.05,581405,0.014563800000000002
sh600397,2.88,285120,0.0267455
sh600598,9.73,1986866,0.07342794
sh600682,16.24,7096880,0.0033968999999999996
sh601016,3.2,449920,0.00160688
sh600643,11.77,2531727,0.0006620399999999999
sh600165,5.2,204880,0.02351118
sz002224,6.8,573240,0.00282093
sh600794,3.55,295005,0.0115632
sz000797,5.78,234090,0.00502674
sz002910,15.0,1329000,0.023652720000000002
sh600276,66.0,10930920,0.022407000000000003
sz000949,3.39,55257,0.03845454
sz002030,13.37,1000076,0.00407484
sh603688,16.15,311695,0.0037114500000000003
sz000912,6.91,1205104,0.00160875
sz300523,52.95,381240,0.00010854
sh600074,1.24,1364868,0.08111753999999999
sz002295,10.19,2432353,0.00176853
sh600076,5.1,967470,0.01524348
sz300590,40.7,3361820,0.00068048
sz300707,17.38,24332,0.006152579999999999
sz300325,4.36,1718276,0.5810568500000001
sz300150,5.69,564448,0.0009126
sh603315,15.09,331980,0.00124983
sh600738,7.88,992880,0.015897599999999998
sz002303,5.98,1249222,0.1529556
sh600787,6.79,1290779,0.0032946200000000003
sz002505,2.18,475022,0.04622174
sh600121,3.63,349932,0.00888966
sz300109,20.28,85176,0.007314
sh600767,5.63,5067,0.00456489
sh600057,4.99,436625,0.00145179
sz002532,8.88,137281248,2.13508056
sz300155,5.67,121905,0.00484512
sz002452,4.52,346232,0.00436146
sh600184,12.6,1004220,0.0015333
sz300588,14.54,178842,0.01959384
sz002226,6.83,982154,0.02014798
sh600246,4.57,1786413,0.004163640000000001
sz002438,8.0,365600,0.00539452
sh603619,17.32,202644,0.00111166
sz300540,17.44,1314976,0.015022
sz002002,5.4,7270495,0.004209
sz002745,15.5,478950,0.0143444
sh603826,18.26,907522,0.0102672
sz300175,6.62,1153204,0.28028715000000004
sz300174,16.85,1438990,0.5532554399999999
sh603001,11.85,5925,0.0034085300000000003
sh603528,8.6,459240,0.0087478
sz300686,18.79,578732,0.04211691
sz000062,22.21,835096,0.0088201
sz300070,9.4,3238027,0.0132616
sz000862,6.59,3667335,0.04955664
sz002696,8.4,178920,0.0033933799999999997
sh603869,22.8,1914562,0.00197955
sz300485,11.81,148806,0.0056693
sz000752,8.16,816816,0.0063651
sh600818,15.28,573000,0.00097836
sz300771,0.0,0.0,0.0
sh600052,3.77,171535,0.0110295
sh600747,1.57,99852,0.00626292
sz002454,5.25,276150,0.0067494899999999995
sz300038,12.65,1647789,0.0016189400000000001
sz000780,3.72,828816,0.013823640000000002
sh600027,4.37,2423165,0.16045065
sh600857,10.63,155198,0.00033542
sh600098,6.44,51520,2.644e-05
sz300642,44.13,873774,0.0070525
sz300498,41.16,6249570,0.05875625
sz000698,4.46,174386,0.00844101
sz000837,5.28,2319504,0.0033428000000000004
sz300204,14.62,14620,0.0022162799999999997
sz000559,6.78,705798,0.004315520000000001
sz300098,9.6,2485440,0.004284
sz002891,36.53,193609,0.01893279
sz002430,12.12,968388,0.0010726800000000001
sz002341,10.77,9032799,0.00325523
sh600461,6.41,1003806,0.00749853
sz002443,7.99,1760197,0.00213416
sz300273,6.02,996310,0.00815262
sz300048,3.03,179982,0.00348942
sh600022,1.91,5870748,0.04938384
sz000021,9.46,5952232,0.0051688
sz000760,3.13,1050115,0.00251082
sz300039,5.14,596240,0.0033
sz300178,10.77,1392561,0.00469326
sz002414,27.14,369104,0.005943
sz000608,0.0,0.0,0.0
sz002613,3.45,216315,0.00262197
sz002345,5.23,178866,0.34649421999999996
sh600221,2.18,6644640,0.5542208000000001
sh600694,31.16,286672,0.0037842
sh603709,31.5,3150,0.0077025
sz002928,21.81,2968341,0.0008771099999999998
sz300670,17.62,412308,0.03529658
sz002021,3.22,455308,0.0022711999999999997
sz300432,6.85,66445,0.0134474
sz000955,5.5,711700,0.0061902
sz000531,7.16,724592,0.03568236
sh600862,9.8,4292400,0.005014220000000001
